epoch,accuracy,loss,val_accuracy,val_loss
0,0.9993603229522705,0.002650787588208914,0.9997590780258179,0.0014740495244041085
1,0.9996848106384277,0.0016219699755311012,0.9997815489768982,0.001438383711501956
2,0.9996945858001709,0.0016347587807103992,0.9997917413711548,0.0012027075281366706
3,0.9997226595878601,0.0016636833315715194,0.999726414680481,0.001236498006619513
4,0.9997209906578064,0.0016097620828077197,0.9997040033340454,0.0010037042666226625
5,0.9997228980064392,0.0017945370636880398,0.9998080730438232,0.0010831012623384595
6,0.9997185468673706,0.00236146105453372,0.9998121857643127,0.0009245123364962637
7,0.9996956586837769,0.001925841555930674,0.9998183250427246,0.0012162041384726763
8,0.9997218251228333,0.0021093455143272877,0.9997652173042297,0.002268104813992977
9,0.9997185468673706,0.002455682959407568,0.999799907207489,0.0011751152342185378
10,0.9996970295906067,0.0027482761070132256,0.9998040199279785,0.0018918536370620131
11,0.9997277855873108,0.0024526407942175865,0.9997488856315613,0.0022302186116576195
